title,harga,alamat,parkir motor,kamar tidur,kamar mandi,jmlh lantai,luas bangunan,luas tanah
"sale rumah berkelas baru gress sasih batubulan dekat terminal,by pass",690000000.0,"JL SASIH BATUBULAN GIANYAR BATUBULAN, GIANYAR",8.0,3.0,2.0,1.0,85.0,100.0
rumah los sungai di ubud,1800000000.0,"UBUD, GIANYAR",20.0,3.0,3.0,1.0,150.0,200.0
dijual rumah dikawasan batubulan bali,550000000.0,"BATUBULAN, GIANYAR",4.0,2.0,2.0,1.0,65.0,100.0
rumah 2 lantai di pering gianyar.bali.ib mantra pantai lebih,1150000000.0,"PERING GIANYAR.BALI. PERING, GIANYAR",10.0,3.0,2.0,2.0,130.0,100.0
dijual rumah second lantai 2 dikawasan batubulan,700000000.0,"BATUBULAN, GIANYAR",4.0,4.0,2.0,2.0,160.0,100.0
rumah second lantai 1 di kawasan batuyang gianyar bali,650000000.0,"SUKAWATI, GIANYAR",20.0,3.0,2.0,1.0,65.0,110.0
rumah baru siap huni di kawasan guwang sukawati gianyar,500000000.0,"GUWANG, GIANYAR",4.0,2.0,1.0,1.0,50.0,75.0
id:b-97 for sale jual rumah batubulan gianyar bali denpasar sanur central ubud,610000000.0,"BATUBULAN, GIANYAR",10.0,3.0,2.0,1.0,60.0,91.0
rumah murah 4kt dengan view sawah cantik di ubud bali,1750000000.0,"UBUD UBUD, GIANYAR",20.0,4.0,4.0,2.0,156.0,204.0
"rumah murah bali 400 jutaan, terlaris, dekat ke pusat kota gianyar",455000000.0,"JALAN BITERA UBUD, GIANYAR",20.0,2.0,1.0,1.0,45.0,100.0
rumah modern 2 lantai di batubulan dekat pantai sanur harga terjangkau,965000000.0,"BATUBULAN SUKAWATI, GIANYAR",10.0,3.0,2.0,2.0,115.0,100.0
rumah harga miring siap huni 3 kamar dekat denpasar,635000000.0,"BATUBULAN, GIANYAR, BALI BATUBULAN, GIANYAR",4.0,3.0,2.0,1.0,60.0,100.0
rumah komersial di ubud hanya 2 kilometer dari ubud center bali,2500000000.0,"UBUD, GIANYAR",4.0,2.0,2.0,1.0,100.0,100.0
rumah siap huni di batu bulan,715000000.0,"BATUBULAN, GIANYAR",10.0,3.0,2.0,1.0,70.0,100.0
rumah 2lantai at ketewel,1500000000.0,"KETEWEL, GIANYAR",6.0,3.0,4.0,2.0,300.0,200.0
"dijual rumah minimalis baru lokasi di jl. smki batubulan, gianyar, bal",595000000.0,"BATUBULAN, GIANYAR",10.0,2.0,2.0,1.0,50.0,80.0
